season,week,team,full_name,name_std,position,source_status,practice_status,availability,retrieved_at
2026,3,NE,Craig Woodson,craigwoodson,S,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,ARI,Dadrion Taylor-Demerson,dadriontaylordemerson,S,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,PHI,Dallas Goedert,dallasgoedert,TE,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,HOU,Dalton Schultz,daltonschultz,TE,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,LAC,Dalvin Tomlinson,dalvintomlinson,DT,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,TEN,Daniel Bellinger,danielbellinger,TE,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,JAX,DaVon Hamilton,davonhamilton,DT,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,IND,DeForest Buckner,deforestbuckner,DT,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,SF,Demarcus Robinson,demarcusrobinson,WR,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,DAL,DeMarvion Overshown,demarvionovershown,LB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,NYG,Deonte Banks,deontebanks,CB,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,CAR,Devin Lloyd,devinlloyd,LB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,PHI,DeVonta Smith,devontasmith,WR,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,CIN,Dexter Lawrence,dexterlawrence,DT,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,BUF,DJ Moore,djmoore,WR,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,GB,Donovan Jennings,donovanjennings,G,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,NE,Dre'Mont Jones,dremontjones,LB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,GB,Edgerrin Cooper,edgerrincooper,LB,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,HOU,Ed Ingram,edingram,G,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,BUF,Ed Oliver,edoliver,DT,Questionable,Full Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,LAC,Elijah Molden,elijahmolden,S,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,NE,Eli Raridon,eliraridon,TE,Questionable,Did Not Participate In Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,NYJ,Francisco Mauigoa,franciscomauigoa,LB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,WAS,Frankie Luvu,frankieluvu,LB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,PIT,Gennings Dunker,genningsdunker,G,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,CLE,Grant Delpit,grantdelpit,S,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,MIN,Harrison Smith,harrisonsmith,S,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,HOU,Jacob Hummel,jacobhummel,LB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
